Episode,Reward,Steps
0,-39.92010840587318,171
1,-105.71011408232152,300
2,17.851783274207264,300
3,2.292213798733428,300
4,-31.138067258521914,300
5,-25.293935423716903,257
6,106.88749731518328,300
7,-1.1452794261276722,18
8,-1.5704415179789066,19
9,2.31317700445652,19
10,0.507644223747775,15
11,0.9089416936039925,15
12,9.887667827308178,49
13,0.8104636212810874,17
14,9.40030944161117,37
15,30.157053895294666,63
16,51.88178328797221,61
17,325.8821900598705,300
18,256.1817198153585,300
19,284.4631958361715,300
0,15.346102638170123,69
1,327.78051356226206,300
2,1.4711879156529903,16
3,0.39007510617375374,15
4,0.40812555828597397,15
5,228.37076156958938,300
0,1.7836250104010105,39
1,0.451576204970479,29
0,7.588172659277916,43
1,-20.586974968435243,300
2,0.07857511565089226,16
3,0.43387620989233255,13
4,0.5135309714823961,13
5,0.5637483252212405,13
6,0.9036323800683022,13
7,0.4515058845281601,13
8,0.5758625115267932,13
9,3.056622140109539,17
10,2.6906544473022223,19
11,0.9768731105141342,15
12,1.6051203981041908,15
13,0.3089972361922264,11
14,0.8261665478348732,15
15,0.6079168613068759,13
16,0.4721630085259676,13
17,0.4298568293452263,13
18,1.3022325560450554,15
19,1.5021825805306435,17
20,0.5256923902779818,13
21,7.614880815148354,19
22,1.8189727887511253,15
23,0.5066611776128411,13
24,0.5948760285973549,13
25,0.9436675403267145,15
26,1.0472084358334541,15
27,0.9237873628735542,15
28,0.44302710704505444,13
29,1.1104022450745106,15
30,0.5994221493601799,13
31,0.6930684000253677,15
32,1.2972561791539192,13
33,0.6186682656407356,13
34,0.13657255470752716,13
35,0.4719785191118717,13
36,0.578548502177,15
37,0.8545327931642532,15
38,0.3373139798641205,15
39,0.23927433788776398,13
40,0.43460934795439243,13
41,0.47945122979581356,11
42,0.4142167419195175,13
43,0.13878409564495087,13
44,0.4044092148542404,13
45,0.3080986626446247,13
46,0.36481687566265464,13
47,0.4654812291264534,13
48,0.3645203039050102,11
0,33.94590184092522,300
1,-74.26175240799785,252
2,-2.194253869354725,29
3,-144.17788649350405,300
4,-4.546180319041014,24
5,-1.902383804321289,1
6,-3.9322356432676315,21
0,-22.66637361422181,115
1,-4.272853195667267,15
2,-1.1330198161303997,13
3,-1.6506139636039734,13
4,-1.9306267313659191,15
5,-2.983159579336643,15
6,-1.9005059525370598,13
7,-14.164188610389829,37
8,-18.949030995368958,49
9,-34.48651510477066,57
10,-9.455524824559689,33
11,-6.00596709549427,37
12,-12.344010821077973,75
13,-7.338536448776722,27
14,-4.393447205424309,29
15,-2.835458632558584,23
16,-17.253899283707142,55
17,17.458155940519646,115
18,-1.22467169072479,15
19,-2.2475660741329193,17
20,-0.6008907184004784,13
21,-2.333053644746542,49
22,-11.974472880363464,39
23,-0.6877349492860958,51
24,-8.681083698756993,39
25,-25.995110470801592,45
26,-1.839686207473278,15
27,-3.8390287533402443,19
28,-0.5995881594717503,17
29,-11.075198158621788,37
30,-34.89694707840681,55
31,-37.84312606230378,75
32,-8.650003094226122,33
33,-11.47409949451685,43
34,-20.595090873539448,35
35,-0.35291243344545364,17
36,-12.330308172851801,41
37,-8.59157101996243,35
38,-12.433246776461601,41
39,-35.58487743139267,55
40,-37.523808903992176,81
41,-10.560297667980194,27
42,-27.9567108489573,67
43,-1.0217663804069161,51
44,-12.093283576192334,79
45,-22.31118018180132,35
46,-12.809252560138702,59
47,-10.399195698089898,57
48,160.04148165509105,300
49,-3.01117380784126,18
50,-4.287562360987067,19
51,-10.639019249007106,29
52,-4.841667994856834,25
53,-3.565274752676487,21
54,-38.83225620537996,65
55,-3.0450486675836146,21
56,-3.2540599927306175,25
57,-13.302882038988173,27
58,-1.7427066825330257,15
59,-10.834134932607412,23
60,-8.566751770675182,23
61,-13.685729153454304,25
62,-3.227381616830826,19
63,-10.40596330165863,27
64,-3.96062371134758,31
65,-11.543923303484917,25
66,-3.4943427070975304,17
67,4.044912006705999,51
68,-9.361158549785614,35
69,-2.1632156372070312,19
70,-4.667425014078617,23
71,-4.7752138413488865,37
72,-2.4014786146581173,17
73,87.26052485685796,233
74,7.804017785005271,47
75,-4.039086168864742,17
76,-3.890159236267209,21
77,-7.76303243637085,25
78,-30.90845723822713,65
79,-2.4688847213983536,17
80,-2.1917726024985313,15
81,-3.9768313616514206,17
82,-3.270015318877995,17
83,-1.9705261997878551,21
84,-0.9145504254847765,15
85,-2.1603319980204105,31
86,-9.052578803151846,29
87,-4.362831849604845,21
88,-4.971661061048508,19
89,-6.682201117277145,19
90,-13.154085040092468,25
91,-3.146153151988983,17
92,-35.25639022095129,37
93,0.5843528034165502,27
94,-4.8792747631669044,23
95,-3.4986403761431575,41
96,-7.247497320175171,25
97,-15.120812471956015,49
98,-2.155183784663677,13
99,-7.691792281344533,23
100,-17.410405453294516,25
101,-1.4648032262921333,13
102,-14.95663746446371,29
103,-16.251613803207874,35
104,-8.560439765453339,23
105,-20.766958482563496,33
106,-1.464955784380436,15
107,-4.111506424844265,23
108,-3.600966654717922,17
109,-15.326590731739998,27
110,-13.979726122692227,37
111,-143.1200531180948,127
112,-6.666109267622232,33
113,-16.55693868547678,31
114,5.399965614080429,37
115,-3.1717424392700195,35
116,-4.462039506994188,25
117,-36.54640854150057,47
118,-2.064979501068592,37
119,-7.844058055430651,77
120,-15.678503038361669,43
121,-3.686471700668335,29
122,-44.23935500532389,129
123,-5.808766046538949,25
124,0.8259085193276405,19
125,-13.486086305230856,41
126,-0.9531741179525852,15
127,-5.195627023465931,300
128,0.18967489851638675,138
129,-44.75416301935911,111
130,-67.09020100161433,143
131,-1.758393794298172,17
132,-1.5081824697554111,17
133,-3.9606362730264664,19
134,-2.9074681624770164,19
135,-2.6092573589412495,15
136,-1.133956752717495,15
137,-3.2963985418900847,17
138,-4.3025870732963085,19
139,62.718814216554165,133
140,11.919923581182957,69
141,2.5197158083319664,23
142,11.331413662061095,61
0,-75.90075895935297,125
1,-38.552114106714725,85
2,-10.534975234419107,39
3,-28.019787325523794,133
4,-4.97173235565424,19
5,-4.610671494156122,17
6,-5.039924941956997,21
7,-42.05326690059155,145
8,-3.450596034526825,17
9,-4.1382819367572665,17
10,-1.462066113948822,15
11,-15.495562073774636,59
12,-1.9775327946990728,29
13,-10.783890515565872,29
14,-17.63504783064127,39
15,-2.445939812809229,29
16,-5.162501476705074,27
17,-3.420254062861204,25
18,-5.669279128313065,25
19,-6.545158959925175,19
20,-1.7237122058868408,17
21,-20.064234163612127,41
22,-9.07926918566227,21
23,-2.543923318386078,15
24,-5.929709050804377,21
25,-2.818500369787216,19
26,-5.463103465735912,29
27,3.9118324003648013,43
28,-18.11096178740263,45
29,-4.939656391739845,21
30,-7.387361584231257,27
31,-9.22905371338129,25
32,-33.030423671007156,57
33,-3.4615028593689203,29
34,-60.16712805302814,61
35,-11.633849935373291,35
36,-4.052629606798291,17
37,-7.161408849060535,21
38,-1.6653779968619347,15
39,-5.2394836619496346,23
40,-4.411908932030201,23
41,-3.7815058305859566,33
42,-6.7821284532547,21
43,-7.357939325273037,25
44,-2.352380819618702,17
45,-12.124962024390697,31
46,-8.595354172866791,49
47,-2.590258738026023,15
48,-2.157743200659752,17
49,-9.102906052023172,21
50,-8.504990141838789,31
51,-5.174564190208912,25
52,-9.458889253437519,41
53,-3.6933178724721074,41
54,-3.4085157066583633,25
55,-2.1069673988968134,23
56,-16.723620733246207,37
57,-0.8905959632247686,23
58,-13.216668985784054,33
59,-2.141030430793762,29
60,-5.866017273627222,21
61,-6.788773715496063,33
62,-17.68434465676546,37
63,-1.2341420277953148,31
64,2.4611422568559647,25
65,-9.75485561043024,27
66,-2.530620596371591,21
67,-5.453952569514513,21
68,-4.504747450351715,17
69,-4.057324111461639,19
70,-3.2843439802527428,15
0,-58.846806140616536,125
1,-2.5790179446339607,17
2,-2.105865053832531,15
3,-1.6945261023938656,13
4,-3.2516637071967125,17
5,-2.8978847339749336,15
6,-3.5026802867650986,13
7,-2.2974404767155647,13
8,-1.6193561162799597,15
9,-2.7644217312918045,17
10,-5.072964981198311,19
11,-2.6485936641693115,15
12,-2.089575044810772,17
13,-6.073017382994294,31
14,-2.560736946761608,15
15,-3.029943585395813,15
16,-30.130668889265507,67
17,-4.283553086221218,19
18,-2.087657280266285,13
19,-1.9351822137832642,17
20,-74.48768669739366,59
21,-3.613799124956131,15
22,-1.624211199581623,15
23,-0.7849659360945225,15
24,-1.7748596742749214,15
25,-4.375939842313528,15
26,-2.4412319660186768,1
27,-4.171658778563142,17
28,-2.8717106506228447,15
29,0.18091752007603645,19
30,-5.376817528158426,27
31,-0.7551472559571266,13
32,-2.1371870934963226,15
33,-2.049439698457718,15
34,-2.748194422572851,15
35,-5.7037952318787575,21
36,-4.875968628562987,19
37,3.1174392350949347,19
38,-2.662539981305599,17
39,-3.3531214222311974,15
40,-1.9418347403407097,15
41,-1.9288524240255356,15
42,-20.572629921138287,37
43,3.3505158936604857,101
44,13.727061536395922,121
45,-1.6410157307982445,13
46,-2.8743507228791714,15
47,-1.5372286513447762,13
48,-6.216285578906536,17
49,-2.5515168085694313,15
50,-2.4044012911617756,107
51,-0.5481898263096809,11
52,-6.507685668766499,29
0,-16.67410090751946,85
1,-3.105641907081008,29
2,-0.09074208978563547,19
3,-1.3994806744158268,17
4,-2.1403674483299255,17
5,-4.452100194990635,19
6,-2.3378297947347164,17
7,-3.7652657628059387,17
8,-2.028859680518508,17
9,-0.25471903197467327,117
10,-2.258587419986725,15
11,-2.0974802747368813,19
12,-1.9153197407722473,17
13,-2.033540241420269,69
14,-21.755249997600913,65
15,-1.8382382839918137,17
16,-13.235768806189299,25
17,-2.131163589656353,15
18,-2.9783595129847527,21
19,-3.2852079262956977,21
20,-0.8955862978473306,15
21,-2.1050716899335384,17
22,-1.7341177240014076,13
23,-0.6052369400858879,17
24,-1.2399775795638561,17
25,-2.6821333998814225,19
26,-3.4718088060617447,17
27,-3.2322607412934303,15
28,-2.7172627449035645,17
29,-1.634064745157957,99
30,-1.1329591050744057,23
31,-5.3196169305592775,25
32,-2.532651901245117,17
33,-2.7282822355628014,19
34,-3.2862132489681244,19
35,-3.360271565616131,17
36,-6.278793938457966,23
37,-2.6003035083413124,17
38,-5.397785559296608,19
39,-2.2426644824445248,17
40,-4.603820368647575,19
41,-0.3458055965602398,17
42,-2.2113067507743835,17
43,-0.8062941655516624,15
44,-1.3128489777445793,13
45,-1.5310536995530128,13
46,-7.489764918573201,21
47,-5.442061062902212,23
48,-3.5728993713855743,17
49,-2.170285627245903,15
50,-4.895571738481522,19
51,-1.5830582976341248,15
52,-0.9441477656364441,17
53,-0.7023990964516997,13
54,-1.7857827842235565,17
55,-0.8841785758268088,15
56,-3.272698223590851,17
57,-7.169755253940821,25
58,-59.69284099712968,61
59,30.998294192482717,79
60,4.436932156328112,59
61,-7.653405476361513,31
62,-3.693304456304759,19
63,-1.9908247981220484,19
64,-4.464383438229561,17
65,-1.0710810581222177,15
66,-1.7672904953360558,15
67,-2.659681986551732,15
68,-1.2045195326209068,17
69,-2.0729232132434845,15
70,-8.82734925672412,29
71,-5.65066522359848,23
72,-2.736130155622959,19
73,-3.398073337972164,21
74,-81.95354744791985,115
75,-10.581168495118618,27
76,-2.1169227715581656,15
77,1.016303127631545,29
78,-22.200681755319238,147
79,-1.7811081483960152,29
80,-0.4819379150867462,15
81,-48.02632059529424,199
82,-1.078448548913002,15
83,-1.8506036788458005,21
84,-10.344300724565983,31
85,-4.344605907797813,25
86,-9.458040304481983,17
87,-1.6438692351803184,17
88,-7.249277129420079,55
89,-13.940825037658215,45
90,-2.5305183976888657,15
91,-3.597890730947256,31
92,-2.873935803771019,17
93,-5.992302812635899,31
94,-1.0041900761425495,15
95,-10.00050304364413,41
96,-9.771005269140005,25
97,-1.484764188528061,19
98,-4.069254603236914,25
99,-1.9375028721988201,17
100,-0.786074198782444,17
101,-1.273405410349369,21
102,-5.354997090995312,19
103,-7.32318252325058,21
104,-1.2131896587088704,17
105,-1.8599608188960701,15
106,-6.375571310520172,23
107,-41.902209555730224,105
108,-13.940971359610558,43
109,-9.087822444736958,29
110,-44.071885304292664,300
111,-48.228378005325794,60
112,38.07674552407116,79
113,-83.22872459888458,105
114,-6.221971172839403,17
115,-8.21701068431139,23
116,-1.6617076322436333,19
117,-0.8806165978312492,13
118,-6.242532968521118,29
119,-2.911091588437557,17
120,-22.949477665126324,47
121,-26.341025926172733,95
122,-20.71834209188819,135
123,-14.978555772453547,49
124,-10.026416875422,37
125,-6.888524740934372,33
126,-3.034992229193449,37
127,6.387213503941894,53
0,-121.81833152100444,25
1,-138.72376767545938,29
2,-106.45714472047985,29
3,-2584.549086505547,283
4,-94.16133581846952,19
5,-135.49331379309297,25
6,-104.16748155653477,19
